level	name	purpose	walls	floors	ceilings	Max Ceiling Height	Monster (dominant inhabitant)	Monster (pet or allied creature)	Monster (random creature)
0	The Echoing Warrens	Maze	ancient fitted stone blocks with cracked mortar and faded heraldry	worn flagstones with dirt-filled seams	low stone arches with soot stains	10ft	Bandits | Goblins | Kobolds	Giant Rats | Trained Weasels | Wolf Pups | Mastiffs	Gray Ooze [solo] | Swarm of Rats | Swarm of Insects | Carrion Crawler [solo] | Giant Centipedes | Skeletons | Zombies | Violet Fungus | Flying Swords | Lemure | Manes | Giant Wolf Spider
-1	The Ashen Bastion	Stronghold	reinforced masonry with crude timber bracing	uneven stone smeared with ash and refuse	smoke-darkened beams and brick vaults	12ft	Hobgoblins | Disciplined Goblins | Bugbears	Worgs | Trained Wolves | Dire Wolves | Warhorses	Ochre Jelly [solo] | Swarm of Bats | Giant Spiders | Darkmantle | Magma Mephit | Fire Snake | Bugbear Scouts | Shadows | Gargoyle [solo] | Scarecrow | Spy | Thugs
-2	The Chiseled Halls	Lair	thicker stone blocks engraved with martial glyphs	chiseled parade floors scored by drills	barrel vaults hung with iron chains	15ft	Bugbear Chiefs | Hobgoblin Captains | Ogres	Dire Wolves | Winter Wolves | Giant Boars | Basilisks	Rust Monster [solo] | Piercer | Swarm of Beetles | Gelatinous Cube [solo] | Minotaur Skeleton | Berserker | Hell Hound | Gargoyle [solo] | Ghoul | Wight | Spectator [solo] | Intellect Devourer
-3	The Basalt Citadel	Stronghold	cyclopean stone etched with conquest scenes	polished basalt inlaid with brass lines	high vaults with murder holes	20ft	Hobgoblin Devastators | Duergar | Stone Giant Scouts	Azers | Magma Mephits | Fire Elementals | Bearded Devils	Black Pudding [solo] | Flameskull | Salamander | Barbed Devil | Bulette [solo] | Manticore | Phase Spider | Banshee [solo] | Ghost | Bone Naga [solo] | Troll | Vampire Spawn
-4	The Fungal Slums	General Dungeon Chambers	damp stone veined with fungal growth	slick stone bridges over dark canals	dripping cavern ceiling with hanging roots	15ft	Myconid Sovereigns | Derro | Troglodytes	Giant Spiders | Carrion Crawlers | Shambling Mounds | Giant Toads	Chuul [solo] | Gibbering Mouther | Otyugh [solo] | Shambling Mound | Water Weird | Giant Toad | Merrow | Harpy | Hook Horror | Grick Alpha [solo] | Ettin [solo] | Wereboar
-5	The Serpent Shrine	Temple or Shrine	carved basalt pillars shaped like coiling serpents	mosaic floors depicting scaled deities	domed ceiling painted with constellations	30ft	Yuan-ti Malisons | Yuan-ti Purebloods | Medusas	Giant Constrictor Snakes | Swarms of Poisonous Snakes | Hydras | Bone Nagas	Mummy | Mummy Lord [solo] | Medusa [solo] | Spirit Naga [solo] | Lamia | Rakshasa [solo] | Hydra [solo] | Wyvern [solo] | Chimera [solo] | Oni [solo] | Revenant | Deathlock
-6	The Abyssal Reef	Temple or Shrine	seamless black stone fused with alien coral	pulsing slick surface above brackish water	bulbous vault webbed with tendrils	40ft	Aboleths | Kuo-toa Whips | Mind Flayers	Chuul | Giant Eels | Merrows | Sea Hags	Kraken Priest | Sea Hag | Marid [solo] | Water Elemental | Roper [solo] | Cloaker [solo] | Mind Flayer | Grell | Neothelid [solo] | Young Black Dragon [solo] | Beholder Zombie [solo] | Death Tyrant [solo]
-7	The Sulfur Pit	Lair	obsidian blocks etched with abyssal script	cracked obsidian plates venting sulfur	spired ceiling lost in smoke	50ft	Cult Fanatics | Barlguras | Hezrous	Vrocks | Shadow Demons | Nightmares | Chasmes	Glabrezu [solo] | Nalfeshnee [solo] | Marilith [solo] | Balor [solo] | Goristro [solo] | Night Hag | Bone Devil | Chain Devil | Horned Devil | Erinyes | Yugoloth Mezzoloth | Nycaloth
-8	The Iron Foundry	Mine	iron-plated walls riveted over ancient stone	jagged metal walkways over lava fissures	smokestacks and iron rafters	25ft	Barbed Devils | Horned Devils | Fire Giant Smiths	Hell Hounds | Spined Devils | Iron Golems | Fire Snakes	Pit Fiend [solo] | Ice Devil | Rakshasa [solo] | Efreeti [solo] | Fire Giant | Storm Giant [solo] | Empyrean [solo] | Solar [solo] | Planetar [solo] | Lich [solo] | Demilich [solo] | Iron Golem [solo]
-9	The Astral Vault	Treasure Vault	smooth violet crystal walls humming softly	glasslike floor with arcane sigils	star-speckled void beyond fractured dome	60ft	Githyanki Knights | Githzerai Zerths | Star Spawn Seers	Red Dragons | Astral Dreadnought Spawn | Silver Dragons | Invisible Stalkers	Beholder [solo] | Death Tyrant [solo] | Mind Flayer Arcanist | Ulitharid | Adult Red Dragon [solo] | Adult Gold Dragon [solo] | Kraken [solo] | Solar [solo] | Planetar [solo] | Archmage | Archdruid | Storm Giant Quintessent [solo]
-10	The Infinite Sepulcher	Tomb	cyclopean marble shot through with glowing veins	mirror-polished floor reflecting infinite depths	cathedral vault open to the void	80ft	Liches | Archmages | Demiliches	Mind Flayer Arcanists | Boneclaws | Dracolich | Ghostly Knights	Tarrasque [solo] | Ancient Dragon Turtle [solo] | Empyrean [solo] | Solar [solo] | Pit Fiend [solo] | Balor [solo] | Kraken [solo] | Astral Dreadnought [solo] | Atropal [solo] | Nightwalker [solo] | Phoenix [solo] | Leviathan [solo]
-11	The Cosmic Fold	Planar Gate	impossible non-euclidean stone folding into itself	shifting geometric plates of force	cosmic void filled with drifting monoliths	200ft	Ancient Dragons | Demon Lords | Archdevils	Titanic Elementals | Mythic Fiends | Aspects of Bahamut | Aspects of Tiamat	Aspect of Tiamat [solo] | Aspect of Bahamut [solo] | Demon Lord [solo] | Archdevil [solo] | Greatwyrm Dragon [solo] | Primordial Elemental | Elder Tempest [solo] | Zaratan [solo] | Sibriex [solo] | Empyrean [solo] | Solar [solo] | Marut [solo]
