level	name	purpose	walls	floors	ceilings	Max Ceiling Height	Monster (dominant inhabitant)	Monster (pet or allied creature)	Monster (random creature)	description
0	The Echoing Warrens	Maze	ancient fitted stone blocks with cracked mortar and faded heraldry	worn flagstones with dirt-filled seams	low stone arches with soot stains	10ft	Bandits | Goblins | Kobolds	Giant Rats | Trained Weasels | Wolf Pups | Mastiffs	Gray Ooze [solo] | Swarm of Rats | Swarm of Insects | Carrion Crawler [solo] | Giant Centipedes | Skeletons | Zombies | Violet Fungus | Flying Swords | Lemure | Manes | Giant Wolf Spider	The Echoing Warrens were originally constructed as a fortified surface checkpoint and entry maze designed to turn back uninvited visitors. Today, the complex serves as a chaotic, squalid staging ground for petty scavengers, bandits, and rival bands of goblins or kobolds looking for easy prey near the surface. These dominant groups maintain an uneasy, opportunistic alliance, occasionally unleashing trained mastiffs or giant rats to patrol the outer perimeter. Adventurers entering this level will find themselves caught in a messy turf war, constantly forced to choose between navigating treacherous traps, bribing desperate warbands, or fighting off stray vermin and rogue undead that wander out of the dark.
-1	The Ashen Bastion	Stronghold	reinforced masonry with crude timber bracing	uneven stone smeared with ash and refuse	smoke-darkened beams and brick vaults	12ft	Hobgoblins | Disciplined Goblins | Bugbears	Worgs | Trained Wolves | Dire Wolves | Warhorses	Ochre Jelly [solo] | Swarm of Bats | Giant Spiders | Darkmantle | Magma Mephit | Fire Snake | Bugbear Scouts | Shadows | Gargoyle [solo] | Scarecrow | Spy | Thugs	Built as a heavy military outpost to secure the upper descent, the Ashen Bastion once held off armies with its thick masonry and tactical chokepoints. It now functions as a regimented staging camp for a iron-fisted hobgoblin vanguard that enforces order over disciplined goblins and brute bugbear shock troops. The ruling military force uses warhorses and trained worgs for rapid patrols, maintaining strict security and perimeter defense. Players entering the bastion face a tactical nightmare of coordinated garrisons and alarm networks, where failing to bribe or bypass guard posts will quickly draw disciplined martial squads and wandering dungeon scavengers into a unified response.
-2	The Chiseled Halls	Lair	thicker stone blocks engraved with martial glyphs	chiseled parade floors scored by drills	barrel vaults hung with iron chains	15ft	Bugbear Chiefs | Hobgoblin Captains | Ogres	Dire Wolves | Winter Wolves | Giant Boars | Basilisks	Rust Monster [solo] | Piercer | Swarm of Beetles | Gelatinous Cube [solo] | Minotaur Skeleton | Berserker | Hell Hound | Gargoyle [solo] | Ghoul | Wight | Spectator [solo] | Intellect Devourer	These sprawling halls were carved to serve as an subterranean parade ground and formal training assembly for ancient warlords. In the current era, the space has been converted into a bloody, contested lair for elite hobgoblin captains, tyrant bugbear chiefs, and mercenary ogres. These warlords command dire wolves and baseline basilisks as deadly guard beasts, using them to secure their individual strongholds within the halls. Adventurers must navigate high-tension territorial rivalries, where dominant captains try to turn incoming players into weapons against their rivals or eliminate them before they disrupt the local hierarchy.
-3	The Basalt Citadel	Stronghold	cyclopean stone etched with conquest scenes	polished basalt inlaid with brass lines	high vaults with murder holes	20ft	Hobgoblin Devastators | Duergar | Stone Giant Scouts	Azers | Magma Mephits | Fire Elementals | Bearded Devils	Black Pudding [solo] | Flameskull | Salamander | Barbed Devil | Bulette [solo] | Manticore | Phase Spider | Banshee [solo] | Ghost | Bone Naga [solo] | Troll | Vampire Spawn	The Basalt Citadel was raised as an unyielding, high-ceiling fortress to project martial power across the deep levels. It now stands as an active war room and defensive bastion held by an alliance of hobgoblin devastators, duergar legionnaires, and stone giant scouts. They maintain bound elementals, azers, and fiery mephits to power their siege apparatus and safeguard their strategic choke points. Players traversing this citadel will find themselves target-locked by lethal ambient artillery and heavy patrols, forcing them to engage in tense high-stakes diplomacy or survive high-tier military skirmishes while avoiding opportunistic wandering predators.
-4	The Fungal Slums	General Dungeon Chambers	damp stone veined with fungal growth	slick stone bridges over dark canals	dripping cavern ceiling with hanging roots	15ft	Myconid Sovereigns | Derro | Troglodytes	Giant Spiders | Carrion Crawlers | Shambling Mounds | Giant Toads	Chuul [solo] | Gibbering Mouther | Otyugh [solo] | Shambling Mound | Water Weird | Giant Toad | Merrow | Harpy | Hook Horror | Grick Alpha [solo] | Ettin [solo] | Wereboar	Originally engineered as a grand subterranean aqueduct and civic processing hub, this level managed drainage for the levels above. It has since decayed into a sprawling, bio-hazardous slum overrun by subterranean myconid sovereigns, chaotic derro, and foul troglodytes. The dominant inhabitants coexist in a tense ecosystem, utilizing giant spiders, shambling mounds, and carrion crawlers as waste processors and village guardians. Adventurers stepping into the slums must carefully manage spore hallucinations, navigate slippery fungal bridges, and negotiate with paranoid derro or silent fungal monarchs to avoid being feeding stock for lurking canal horrors.
-5	The Serpent Shrine	Temple or Shrine	carved basalt pillars shaped like coiling serpents	mosaic floors depicting scaled deities	domed ceiling painted with constellations	30ft	Yuan-ti Malisons | Yuan-ti Purebloods | Medusas	Giant Constrictor Snakes | Swarms of Poisonous Snakes | Hydras | Bone Nagas	Mummy | Mummy Lord [solo] | Medusa [solo] | Spirit Naga [solo] | Lamia | Rakshasa [solo] | Hydra [solo] | Wyvern [solo] | Chimera [solo] | Oni [solo] | Revenant | Deathlock	This grand shrine was built by an ancient empire as a opulent worship center to channel the divine power of scaled stellar deities. Today, it operates as a dark, active cult center ruled by scheming yuan-ti malisons, purebloods, and high-priest medusas. The serpentine masters use massive hydras, bone nagas, and venomous snake swarms to defend their sacred altars and keep intruders at bay. Players exploring the shrine face subtle manipulation, venomous traps, and ritualistic ambushes, as the resident cult seeks to either sacrifice them to their elder gods or use them as pawns against rival planar horrors.
-6	The Abyssal Reef	Temple or Shrine	seamless black stone fused with alien coral	pulsing slick surface above brackish water	bulbous vault webbed with tendrils	40ft	Aboleths | Kuo-toa Whips | Mind Flayers	Chuul | Giant Eels | Merrows | Sea Hags	Kraken Priest | Sea Hag | Marid [solo] | Water Elemental | Roper [solo] | Cloaker [solo] | Mind Flayer | Grell | Neothelid [solo] | Young Black Dragon [solo] | Beholder Zombie [solo] | Death Tyrant [solo]	Constructed in antiquity as an alien aquatic sanctuary, this level allowed deep-sea leviathans to commune with surface cultists. It now serves as a drowned horror-house where ancient aboleths, fanatic kuo-toa whips, and invasive mind flayers compete for total psychic domination. These factions enslave chuuls, sea hags, and merrows to guard flooded passages and construct bizarre shrines to strange gods. Adventurers must adapt to submerged environments and resist maddening mental influence, navigating a three-way psionic war where any faction may attempt to dominate the party's mind or sacrifice them to aquatic monstrosities.
-7	The Sulfur Pit	Lair	obsidian blocks etched with abyssal script	cracked obsidian plates venting sulfur	spired ceiling lost in smoke	50ft	Cult Fanatics | Barlguras | Hezrous	Vrocks | Shadow Demons | Nightmares | Chasmes	Glabrezu [solo] | Nalfeshnee [solo] | Marilith [solo] | Balor [solo] | Goristro [solo] | Night Hag | Bone Devil | Chain Devil | Horned Devil | Erinyes | Yugoloth Mezzoloth | Nycaloth	The Sulfur Pit was excavated as a deep volcanic containment grid designed to channel raw abyssal heat into energy for the dungeon. Today, it acts as a chaotic planar beachhead and unholy sanctuary dominated by dark cult fanatics, savage barlguras, and massive hezrou demons. These demonic forces utilize vrocks, chasmes, and nightmares to terrorize lower corridors and expand their infernal influence. Players entering this toxic level face environmental hazards from sulfur fumes and volatile lava fissures while fending off demonic aggression, leaving little room for negotiation unless they can offer souls, dark artifacts, or betrayal of rival fiends.
-8	The Iron Foundry	Mine	iron-plated walls riveted over ancient stone	jagged metal walkways over lava fissures	smokestacks and iron rafters	25ft	Barbed Devils | Horned Devils | Fire Giant Smiths	Hell Hounds | Spined Devils | Iron Golems | Fire Snakes	Pit Fiend [solo] | Ice Devil | Rakshasa [solo] | Efreeti [solo] | Fire Giant | Storm Giant [solo] | Empyrean [solo] | Solar [solo] | Planetar [solo] | Lich [solo] | Demilich [solo] | Iron Golem [solo]	Engineered as a high-capacity industrial mine and forge, this facility was designed to extract rare planar ores from deep magma veins. It currently functions as an infernal armory run by tyrannical fire giant smiths alongside harsh barbed and horned devils. They employ hell hounds, spined devils, and towering iron golems to enforce grueling labor quotas and protect their prized smithies. Adventurers must tread lightly along narrow metal walkways, managing intense heat while attempting to play the cold, legalistic contracts of the devils against the brutish authority of the fire giant smiths.
-9	The Astral Vault	Treasure Vault	smooth violet crystal walls humming softly	glasslike floor with arcane sigils	star-speckled void beyond fractured dome	60ft	Githyanki Knights | Githzerai Zerths | Star Spawn Seers	Red Dragons | Astral Dreadnought Spawn | Silver Dragons | Invisible Stalkers	Beholder [solo] | Death Tyrant [solo] | Mind Flayer Arcanist | Ulitharid | Adult Red Dragon [solo] | Adult Gold Dragon [solo] | Kraken [solo] | Solar [solo] | Planetar [solo] | Archmage | Archdruid | Storm Giant Quintessent [solo]	This level was forged as an interdimensional vault and sanctuary to lock away artifacts capable of unmaking reality. It now serves as a cosmic battleground contested by githyanki knights, githzerai zerths, and enigmatic star spawn seers seeking ancient relics. The factions maintain perilous alliances with red dragons, silver dragons, and invisible stalkers to hold strategic portals across the void floor. Adventurers crossing this shattered vault are caught in the crossfire of a planar war, where they must choose a side, leverage cosmic secrets, or dodge ancient wardens and wandering aberrant horrors to escape with their lives.
-10	The Infinite Sepulcher	Tomb	cyclopean marble shot through with glowing veins	mirror-polished floor reflecting infinite depths	cathedral vault open to the void	80ft	Liches | Archmages | Demiliches	Mind Flayer Arcanists | Boneclaws | Dracolich | Ghostly Knights	Tarrasque [solo] | Ancient Dragon Turtle [solo] | Empyrean [solo] | Solar [solo] | Pit Fiend [solo] | Balor [solo] | Kraken [solo] | Astral Dreadnought [solo] | Atropal [solo] | Nightwalker [solo] | Phoenix [solo] | Leviathan [solo]	The Infinite Sepulcher was erected as a grand monument and permanent resting place for reality-bending monarchs and archmages. It currently serves as a necromantic nexus dominated by supreme liches, renegade archmages, and demiliches who manipulate death magic to further their immortal agendas. These master spellcasters command bound dracoliches, mind flayer arcanists, and ghostly knights to defend their phylacteries and ancient knowledge. Players stepping into this void-touched cathedral must outwit cold, calculated intellects, navigating high-level magical warfare where every interaction is a puzzle designed to drain their souls or enslave them for eternity.
-11	The Cosmic Fold	Planar Gate	impossible non-euclidean stone folding into itself	shifting geometric plates of force	cosmic void filled with drifting monoliths	200ft	Ancient Dragons | Demon Lords | Archdevils	Titanic Elementals | Mythic Fiends | Aspects of Bahamut | Aspects of Tiamat	Aspect of Tiamat [solo] | Aspect of Bahamut [solo] | Demon Lord [solo] | Archdevil [solo] | Greatwyrm Dragon [solo] | Primordial Elemental | Elder Tempest [solo] | Zaratan [solo] | Sibriex [solo] | Empyrean [solo] | Solar [solo] | Marut [solo]	The Cosmic Fold was created at the dawn of time as a grand gateway to stabilize the nexus between all existing planes. It now functions as an apocalyptic arena where ancient dragons, demon lords, and archdevils clash for absolute control over the cosmos. These divine and primordial beings command titanic elementals, mythic fiends, and avatars of dragon gods to reshape the shifting force plates of the level. Adventurers reaching this terminal depth face god-like powers in an environment that defies physics, forced to navigate world-ending rivalries where the slightest misstep means complete annihilation or cosmic subjugation.
